ticket,category,clean_ticket
I need help because The application is not responding I need assistance.,Technical Issue,
I need assistance because My package is delayed I need assistance.,Delivery Issue,
Can you help me? Please refund my order Please look into this.,Refund,
I need assistance because I need help with my subscription,Subscription,
Could you please help? Can you cancel my order? Please help.,Cancellation,
I am facing an issue where Why is my payment pending? Can you resolve this?,Payment Issue,
Can you help me? My account login is not working Please help me with this issue.,Account Issue,
Can you help me? I need my money back I need assistance.,Refund,
Could you please help? I have been waiting for my order,Delivery Issue,
"Please help me, How can I change my password? Please help me with this issue.",Account Issue,
I need help because The product I received is different from what I ordered Please look into this.,Order Issue,
I need help because I want to cancel the purchase Can you check this?,Cancellation,
I need help because I received the wrong product What should I do?,Order Issue,
I need help because I need my money back Can you check this?,Refund,
Can you help me? I forgot my password,Account Issue,
Please refund my order Please look into this.,Refund,
The application is not responding Please help.,Technical Issue,
"Please help me, I want to cancel before it is shipped What should I do?",Cancellation,
Can you help me? I was charged for a subscription I cancelled Please look into this.,Subscription,
I need assistance because My subscription payment failed Can you resolve this?,Subscription,
I am facing an issue where How do I renew my subscription? Please help.,Subscription,
Can you help me? How can I stop automatic renewal? Please help.,Subscription,
Could you please help? My payment failed while placing the order Please look into this.,Payment Issue,
I need help because Please process my refund Can you check this?,Refund,
Could you please help? Can I change my subscription? Please help.,Subscription,
I need assistance because I was charged for a subscription I cancelled Can you check this?,Subscription,
Could you please help? I want to cancel my order What should I do?,Cancellation,
I need help because I want to change my subscription plan Please look into this.,Subscription,
I need help because When will I receive my refund? Can you check this?,Refund,
How do I change my email address?,Account Issue,
I am having a problem because My subscription was renewed automatically Can you resolve this?,Subscription,
Can you help me? How can I manage my subscription? Can you check this?,Subscription,
I need assistance because My UPI payment failed Please help.,Payment Issue,
When will I receive my refund? I need assistance.,Refund,
I need assistance because I have been waiting for my refund Can you resolve this?,Refund,
I am having a problem because My order is still in transit Please help me with this issue.,Delivery Issue,
"Please help me, I no longer want this order What should I do?",Cancellation,
I need help because The app is very slow Please help.,Technical Issue,
Can you help me? The delivery date has passed What should I do?,Delivery Issue,
I need assistance because My order is still in transit Please help.,Delivery Issue,
"Please help me, Where is my package? Please look into this.",Delivery Issue,
Could you please help? The courier has not delivered my package,Delivery Issue,
I need help because My order is incomplete Please help.,Order Issue,
"Please help me, I have been waiting for my refund Please help.",Refund,
I need assistance because I want to change my subscription plan Please help.,Subscription,
I need assistance because I want to update my account information Please help.,Account Issue,
I need assistance because I was charged twice for one order Please help.,Payment Issue,
I am having a problem because My account login is not working Can you check this?,Account Issue,
"Please help me, My payment failed while placing the order Can you resolve this?",Payment Issue,
I am facing an issue where I made a payment but it is still showing as pending What should I do?,Payment Issue,
I need help because I have been waiting for my order Please help me with this issue.,Delivery Issue,
"Please help me, I want to cancel my order",Cancellation,
Can you help me? Please stop my order Please help.,Cancellation,
"Please help me, My money has not been refunded Please look into this.",Refund,
I forgot my password Please look into this.,Account Issue,
Could you please help? I was charged for a subscription I cancelled Can you resolve this?,Subscription,
I need assistance because My payment failed while placing the order Can you check this?,Payment Issue,
I am facing an issue where The application stopped working,Technical Issue,
"Please help me, There is a technical problem Can you resolve this?",Technical Issue,
I am having a problem because I want to update my account information Can you resolve this?,Account Issue,
The product I received is different from what I ordered,Order Issue,
Can you help me? I was charged but my order still shows as unpaid I need assistance.,Payment Issue,
I am having a problem because My order has not arrived yet Please look into this.,Delivery Issue,
I need help because I made a payment but it is still showing as pending Can you resolve this?,Payment Issue,
I am facing an issue where I cannot open the application,Technical Issue,
I am facing an issue where Can you cancel my order?,Cancellation,
Could you please help? I was charged twice for the same transaction Can you resolve this?,Payment Issue,
Can you help me? How can I upgrade my subscription? Please look into this.,Subscription,
I need assistance because Why is my payment pending? Please look into this.,Payment Issue,
I need assistance because Please stop my order Please help.,Cancellation,
I need help because I want to downgrade my plan I need assistance.,Subscription,
Could you please help? Please cancel this transaction Please help.,Cancellation,
Please cancel my purchase Can you resolve this?,Cancellation,
I need assistance because I received the wrong product I need assistance.,Order Issue,
I am facing an issue where I am getting an error message Can you resolve this?,Technical Issue,
I am having a problem because How do I renew my subscription? What should I do?,Subscription,
Can I cancel my order? Please look into this.,Cancellation,
Could you please help? I want to downgrade my plan Please help me with this issue.,Subscription,
Can you help me? The application is not responding Please help me with this issue.,Technical Issue,
I am facing an issue where There is an item missing from my package I need assistance.,Order Issue,
"Please help me, My order contains the wrong product Can you check this?",Order Issue,
I am having a problem because How can I manage my subscription? Can you check this?,Subscription,
Can you help me? My account login is not working What should I do?,Account Issue,
Can you help me? I cannot open the application Please help me with this issue.,Technical Issue,
I need help because I received the wrong size Please help me with this issue.,Order Issue,
Could you please help? My order has not arrived yet Can you resolve this?,Delivery Issue,
I need assistance because The application is not responding Please help.,Technical Issue,
I am facing an issue where My order details are incorrect I need assistance.,Order Issue,
I need help because One item is missing from my order Please look into this.,Order Issue,
"Please help me, The app crashes whenever I open it I need assistance.",Technical Issue,
I am facing an issue where How can I manage my subscription? Please look into this.,Subscription,
I need help because I cannot remember my password Please look into this.,Account Issue,
I need help because I want to update my account information What should I do?,Account Issue,
Could you please help? When does my subscription expire? Can you check this?,Subscription,
"Please help me, The payment keeps getting declined Please help.",Payment Issue,
"Please help me, I need to cancel an order Can you check this?",Cancellation,
Can you help me? I placed the order by mistake Please help.,Cancellation,
I am facing an issue where The money was deducted from my account but the payment failed I need assistance.,Payment Issue,
I am facing an issue where My subscription was renewed automatically Please look into this.,Subscription,
Can you help me? I received a damaged product Please look into this.,Order Issue,
I am facing an issue where I am getting an error message Can you check this?,Technical Issue,
Can you help me? I am having trouble accessing my account Please look into this.,Account Issue,
The payment was successful but the order was cancelled What should I do?,Payment Issue,
"Please help me, The application stopped working Please help me with this issue.",Technical Issue,
Can you help me? How long does a refund take? Please help me with this issue.,Refund,
I need help because The money was deducted from my account but the payment failed What should I do?,Payment Issue,
I need help because The checkout page is not loading Can you resolve this?,Technical Issue,
I am having a problem because I am unable to use the checkout page Can you check this?,Technical Issue,
I need help because How do I renew my subscription? Please look into this.,Subscription,
Can you help me? Why was I charged for my subscription?,Subscription,
Could you please help? The payment gateway is not working Please look into this.,Payment Issue,
I am having a problem because My order details are incorrect Please help me with this issue.,Order Issue,
I want to upgrade my plan Please look into this.,Subscription,
Can you help me? I forgot my login details Please help me with this issue.,Account Issue,
Can you help me? Cancel my recent order Please help me with this issue.,Cancellation,
"Please help me, The app is very slow Can you check this?",Technical Issue,
My account login is not working Please help.,Account Issue,
The app crashes whenever I open it Please help.,Technical Issue,
I need help because How can I cancel my order? Please look into this.,Cancellation,
The website is showing an error Please help me with this issue.,Technical Issue,
Could you please help? Something is missing from my order Please look into this.,Order Issue,
Could you please help? How can I manage my subscription? Please help me with this issue.,Subscription,
I need assistance because My transaction failed Please look into this.,Payment Issue,
I need assistance because How do I update my phone number? What should I do?,Account Issue,
I am having a problem because I forgot my password,Account Issue,
I am having a problem because One item is missing from my order I need assistance.,Order Issue,
Why did my card payment fail? What should I do?,Payment Issue,
Could you please help? When will I receive my refund? Can you resolve this?,Refund,
Could you please help? How can I request a refund? What should I do?,Refund,
"Please help me, My shipment is stuck in transit",Delivery Issue,
"Please help me, My order contains a damaged item",Order Issue,
I am having a problem because I want to cancel before it is shipped Can you resolve this?,Cancellation,
Could you please help? I forgot my login details Please help me with this issue.,Account Issue,
"Please help me, My order details are incorrect Can you check this?",Order Issue,
"Please help me, How long does a refund take? I need assistance.",Refund,
I want to upgrade my plan Please help.,Subscription,
Can you help me? The website is not working Please look into this.,Technical Issue,
I am facing an issue where Please refund my order Can you resolve this?,Refund,
Could you please help? The tracking information has not updated Can you resolve this?,Delivery Issue,
I need assistance because I am unable to sign in Please look into this.,Account Issue,
I need assistance because How can I manage my subscription? Please help me with this issue.,Subscription,
I am facing an issue where The website is showing an error Please help me with this issue.,Technical Issue,
I need assistance because Why did my card payment fail? Please help me with this issue.,Payment Issue,
"Please help me, How do I change my email address? I need assistance.",Account Issue,
Could you please help? Please cancel my purchase I need assistance.,Cancellation,
I am facing an issue where I received a damaged product What should I do?,Order Issue,
Could you please help? How can I cancel my order? Can you resolve this?,Cancellation,
I have been waiting for my refund Can you resolve this?,Refund,
Can you help me? I have been waiting for my order,Delivery Issue,
I am facing an issue where I want to return the payment and get a refund Please help.,Refund,
I need assistance because How can I stop automatic renewal? Can you check this?,Subscription,
I am facing an issue where I want to upgrade my plan Please help.,Subscription,
I am having a problem because I want to upgrade my plan Please look into this.,Subscription,
I need assistance because I was charged twice for one order Can you check this?,Payment Issue,
Could you please help? Can you tell me where my package is? Can you resolve this?,Delivery Issue,
I need help because The money was deducted from my account but the payment failed Please look into this.,Payment Issue,
Can you help me? My order is incomplete I need assistance.,Order Issue,
I am facing an issue where I was charged twice for the same transaction Can you resolve this?,Payment Issue,
Could you please help? My account is locked Please help.,Account Issue,
Can you help me? The item I received is not what I purchased I need assistance.,Order Issue,
I need assistance because Where is my package? Please look into this.,Delivery Issue,
Can you help me? I received the wrong product Please help me with this issue.,Order Issue,
"Please help me, Can you tell me where my package is? I need assistance.",Delivery Issue,
I am facing an issue where My order is still in transit,Delivery Issue,
I am having a problem because The app keeps crashing Please help.,Technical Issue,
Could you please help? The payment gateway is not working,Payment Issue,
Can you help me? My password is not working Can you resolve this?,Account Issue,
I received a damaged product,Order Issue,
Can you help me? My order is still in transit Please help me with this issue.,Delivery Issue,
The checkout page is not loading Please help me with this issue.,Technical Issue,
Could you please help? The delivery is taking longer than expected Please help.,Delivery Issue,
I need help because My order details are incorrect Please help me with this issue.,Order Issue,
Can you help me? I want to cancel my order Please help.,Cancellation,
"Please help me, I want to upgrade my plan Please help.",Subscription,
I need help because Can I cancel my order? Please look into this.,Cancellation,
The app is very slow,Technical Issue,
I no longer want this order,Cancellation,
I am having a problem because I changed my mind and want to cancel Can you resolve this?,Cancellation,
I need help because The money was deducted from my account but the payment failed Please help me with this issue.,Payment Issue,
I need assistance because I want to downgrade my plan Please help me with this issue.,Subscription,
"Please help me, I need help with my subscription What should I do?",Subscription,
"Please help me, My UPI payment failed Can you resolve this?",Payment Issue,
There is an item missing from my package Please help.,Order Issue,
I am facing an issue where I changed my mind and want to cancel I need assistance.,Cancellation,
I need assistance because When will my package be delivered? I need assistance.,Delivery Issue,
I am facing an issue where I cannot access my account Please help me with this issue.,Account Issue,
I need assistance because I want to return the payment and get a refund What should I do?,Refund,
I am having a problem because I cannot use the website I need assistance.,Technical Issue,
Can you help me? My delivery is late I need assistance.,Delivery Issue,
Can you help me? I want to return the payment and get a refund Can you resolve this?,Refund,
I am having a problem because My package has not been delivered Please look into this.,Delivery Issue,
"Please help me, I was charged twice for one order Can you check this?",Payment Issue,
The money was deducted from my account but the payment failed Can you resolve this?,Payment Issue,
"Please help me, My transaction failed Please help.",Payment Issue,
Could you please help? I cannot remember my password Please look into this.,Account Issue,
I am facing an issue where I received the wrong product Please look into this.,Order Issue,
I cannot log into my account Can you check this?,Account Issue,
I need assistance because I forgot my login details I need assistance.,Account Issue,
I am facing an issue where I am getting an error message What should I do?,Technical Issue,
I need help because I cannot use the website Please look into this.,Technical Issue,
I need help because My order is still in transit Can you resolve this?,Delivery Issue,
"Please help me, The money was deducted from my account but the payment failed I need assistance.",Payment Issue,
I need help because Please process my refund What should I do?,Refund,
I have been waiting for my refund What should I do?,Refund,
Can you help me? The app is very slow Please help.,Technical Issue,
Can you help me? I want to cancel the purchase Please help.,Cancellation,
Can you help me? My order is still in transit What should I do?,Delivery Issue,
Could you please help? How can I upgrade my subscription? Please help.,Subscription,
I am facing an issue where I forgot my password Please look into this.,Account Issue,
I need help because I cannot open the application Please help me with this issue.,Technical Issue,
I am having a problem because I am unable to sign in Can you check this?,Account Issue,
Could you please help? I forgot my login details I need assistance.,Account Issue,
I need assistance because My subscription was renewed automatically I need assistance.,Subscription,
I am having a problem because Can I cancel my order? Can you check this?,Cancellation,
I need assistance because My account is locked Can you resolve this?,Account Issue,
I need assistance because The page keeps freezing Please help.,Technical Issue,
Could you please help? I want to cancel my subscription,Subscription,
I am having a problem because I want to cancel my subscription Can you resolve this?,Subscription,
Can you help me? I cannot use the website I need assistance.,Technical Issue,
I am having a problem because I received the wrong size I need assistance.,Order Issue,
Can you help me? I received the wrong size,Order Issue,
"Please help me, I need my money back Can you resolve this?",Refund,
Can you help me? The tracking information has not updated Please look into this.,Delivery Issue,
I need help because I am getting an error message Can you resolve this?,Technical Issue,
My order contains the wrong product,Order Issue,
Can you help me? The website keeps showing an error Please help me with this issue.,Technical Issue,
I need help because I want a refund I need assistance.,Refund,
I need help because How do I renew my subscription? Can you resolve this?,Subscription,
Could you please help? I want to cancel the purchase Please help me with this issue.,Cancellation,
"Please help me, Can you cancel my order? I need assistance.",Cancellation,
I need assistance because My subscription was renewed automatically Can you check this?,Subscription,
Can you help me? My delivery is late Please help.,Delivery Issue,
"Please help me, I am having trouble accessing my account",Account Issue,
I need assistance because The page keeps freezing What should I do?,Technical Issue,
Can you help me? I want to upgrade my plan What should I do?,Subscription,
I am having a problem because I was charged twice for one order Please help me with this issue.,Payment Issue,
I want to update my account information Please help.,Account Issue,
I am facing an issue where Why is my refund delayed? I need assistance.,Refund,
I am having a problem because How can I manage my subscription? What should I do?,Subscription,
"Please help me, My package has not been delivered Can you resolve this?",Delivery Issue,
"Please help me, How can I change my password? Can you check this?",Account Issue,
I am facing an issue where Can you tell me where my package is? Please help.,Delivery Issue,
I am having a problem because The wrong product was delivered Please help me with this issue.,Order Issue,
Can you cancel my order? Can you resolve this?,Cancellation,
I need help because Something is missing from my order Can you check this?,Order Issue,
Could you please help? When will my package be delivered? Please help me with this issue.,Delivery Issue,
I am facing an issue where How can I request a refund? Can you resolve this?,Refund,
"Please help me, I need my money back I need assistance.",Refund,
I am having a problem because I was charged for a subscription I cancelled Can you check this?,Subscription,
Can you help me? I received the wrong size Please help.,Order Issue,
I am having a problem because My order is still in transit Can you check this?,Delivery Issue,
Can you help me? The website is showing an error Please help.,Technical Issue,
Could you please help? The courier has not delivered my package I need assistance.,Delivery Issue,
I need help because I have been waiting for my order Can you check this?,Delivery Issue,
I need assistance because My order details are incorrect I need assistance.,Order Issue,
Could you please help? I forgot my login details Please help.,Account Issue,
I am facing an issue where My payment failed while placing the order What should I do?,Payment Issue,
"Please help me, My refund has not arrived Please help.",Refund,
I need help because My transaction failed,Payment Issue,
Could you please help? Where is my refund? Can you check this?,Refund,
"Please help me, Why is my payment pending? I need assistance.",Payment Issue,
"Please help me, One item is missing from my order",Order Issue,
Could you please help? How can I reset my password? What should I do?,Account Issue,
The courier has not delivered my package,Delivery Issue,
I need help because My package is delayed Can you resolve this?,Delivery Issue,
Could you please help? The courier has not delivered my package Please help.,Delivery Issue,
I am facing an issue where Please stop my order Please help me with this issue.,Cancellation,
I need assistance because The item I received is not what I purchased Can you resolve this?,Order Issue,
I need assistance because I was charged twice for one order I need assistance.,Payment Issue,
Can you help me? I want to change my subscription plan Can you check this?,Subscription,
I am having a problem because I want to downgrade my plan,Subscription,
I need assistance because My transaction failed Please help me with this issue.,Payment Issue,
"Please help me, My refund has not arrived Please look into this.",Refund,
Can you help me? Where is my refund? Please help me with this issue.,Refund,
How can I change my password? Can you check this?,Account Issue,
Can you help me? The courier has not delivered my package Please help.,Delivery Issue,
I need assistance because Please refund my order,Refund,
Can you help me? The payment keeps getting declined Please help me with this issue.,Payment Issue,
I need help because My refund has not arrived Can you check this?,Refund,
"Please help me, The app crashes whenever I open it Please help me with this issue.",Technical Issue,
I need assistance because The page keeps freezing Please help me with this issue.,Technical Issue,
I am having a problem because My account is locked Please look into this.,Account Issue,
I am having a problem because I want to change my subscription plan Please help me with this issue.,Subscription,
I need assistance because My money has not been refunded Can you resolve this?,Refund,
I need help because I placed the order by mistake I need assistance.,Cancellation,
I need assistance because My account is locked Can you check this?,Account Issue,
I am having a problem because Where is my package? Please help.,Delivery Issue,
The delivery date has passed What should I do?,Delivery Issue,
Could you please help? Can I get a refund for this order? I need assistance.,Refund,
My delivery is late,Delivery Issue,
I need assistance because My order has not arrived yet I need assistance.,Delivery Issue,
I need help because The wrong product was delivered,Order Issue,
Can you help me? How do I update my phone number? Please look into this.,Account Issue,
Could you please help? Why is my delivery taking so long? Can you check this?,Delivery Issue,
I need assistance because I cannot complete my payment I need assistance.,Payment Issue,
I am having a problem because My transaction failed Can you check this?,Payment Issue,
Could you please help? When will I receive my refund? I need assistance.,Refund,
I am facing an issue where Why is my payment pending? What should I do?,Payment Issue,
Could you please help? My package is delayed Please help.,Delivery Issue,
I am having a problem because I cannot access my account Please help me with this issue.,Account Issue,
I am facing an issue where Why is my delivery taking so long? I need assistance.,Delivery Issue,
I need help because I am getting an error message,Technical Issue,
How do I renew my subscription? Can you check this?,Subscription,
I need help because How can I cancel my order? What should I do?,Cancellation,
I need assistance because I made a payment but it is still showing as pending Can you check this?,Payment Issue,
I need assistance because The website is not working Can you resolve this?,Technical Issue,
Could you please help? The website keeps showing an error What should I do?,Technical Issue,
I need help because I am unable to sign in Can you resolve this?,Account Issue,
I am having a problem because Can you tell me where my package is? Please help.,Delivery Issue,
Can you help me? I want to cancel before it is shipped Please help me with this issue.,Cancellation,
Can you help me? How do I renew my subscription? What should I do?,Subscription,
Can you help me? Why was I charged for my subscription? Can you check this?,Subscription,
Could you please help? The app crashes whenever I open it Please look into this.,Technical Issue,
Can you help me? How can I manage my subscription? Please help.,Subscription,
"Please help me, My transaction failed I need assistance.",Payment Issue,
Could you please help? I am getting an error message What should I do?,Technical Issue,
I am having a problem because My subscription payment failed I need assistance.,Subscription,
I need help because I want a refund Can you check this?,Refund,
I need help because The money was deducted from my account but the payment failed,Payment Issue,
I am having a problem because How do I change my email address? Please help me with this issue.,Account Issue,
Can you help me? I cannot remember my password Can you resolve this?,Account Issue,
I need assistance because My subscription was renewed automatically Please help me with this issue.,Subscription,
"Please help me, My subscription payment failed Please look into this.",Subscription,
I need assistance because Something is missing from my order I need assistance.,Order Issue,
"Please help me, The application stopped working Please help.",Technical Issue,
I need help because I want to upgrade my plan Please help me with this issue.,Subscription,
Can you help me? I want to cancel my subscription What should I do?,Subscription,
I need help because Please process my refund Please look into this.,Refund,
I am facing an issue where How can I upgrade my subscription? Can you check this?,Subscription,
I am having a problem because There is an item missing from my package Can you check this?,Order Issue,
I am having a problem because Can I get a refund for this order? Can you check this?,Refund,
Could you please help? I changed my mind and want to cancel I need assistance.,Cancellation,
I need help because I no longer want this order,Cancellation,
I want to return the payment and get a refund Can you resolve this?,Refund,
I need help because I made a payment but it is still showing as pending Please help.,Payment Issue,
Can you help me? The payment gateway is not working,Payment Issue,
I am having a problem because I forgot my login details,Account Issue,
Can you help me? Why is my refund delayed? What should I do?,Refund,
I need help because I want to change my subscription plan I need assistance.,Subscription,
My subscription payment failed Please look into this.,Subscription,
I need assistance because How can I change my password? I need assistance.,Account Issue,
"Please help me, I want to cancel the purchase I need assistance.",Cancellation,
I am having a problem because Why is my payment pending? What should I do?,Payment Issue,
My subscription payment failed Can you resolve this?,Subscription,
I am facing an issue where The app is very slow,Technical Issue,
Can you help me? How can I reset my password? What should I do?,Account Issue,
I need assistance because I have been waiting for my order What should I do?,Delivery Issue,
I need assistance because I made a payment but it is still showing as pending Please help me with this issue.,Payment Issue,
I need help because Please cancel my purchase,Cancellation,
Could you please help? The tracking information has not updated I need assistance.,Delivery Issue,
Can you help me? How can I stop automatic renewal? Can you resolve this?,Subscription,
I am facing an issue where I need help with my subscription I need assistance.,Subscription,
"Please help me, My order contains the wrong product",Order Issue,
"Please help me, I forgot my login details What should I do?",Account Issue,
I have been waiting for my order Can you check this?,Delivery Issue,
I am having a problem because I forgot my password What should I do?,Account Issue,
"Please help me, I no longer want this order Please help.",Cancellation,
I need assistance because My transaction failed,Payment Issue,
Could you please help? My transaction failed Please help.,Payment Issue,
I need assistance because How do I update my phone number? Can you resolve this?,Account Issue,
"Please help me, Where is my refund? What should I do?",Refund,
I need help because I want to cancel my order Please help me with this issue.,Cancellation,
Can you help me? The payment was successful but the order was cancelled Can you resolve this?,Payment Issue,
I am facing an issue where How can I upgrade my subscription? I need assistance.,Subscription,
I need my money back Please help me with this issue.,Refund,
Can you help me? I am unable to use the checkout page Please look into this.,Technical Issue,
"Please help me, Can you cancel my order? Can you resolve this?",Cancellation,
I need assistance because The app crashes whenever I open it Can you resolve this?,Technical Issue,
I am having a problem because I received the wrong size Please help me with this issue.,Order Issue,
Why was I charged for my subscription? Can you resolve this?,Subscription,
I need assistance because There is an item missing from my package Can you resolve this?,Order Issue,
I am having a problem because I was charged but my order still shows as unpaid Please help.,Payment Issue,
I need help because How can I reset my password? Please help.,Account Issue,
Can you help me? My payment failed while placing the order I need assistance.,Payment Issue,
I need assistance because The payment keeps getting declined Can you resolve this?,Payment Issue,
I need assistance because My delivery is late I need assistance.,Delivery Issue,
I need assistance because I need my money back Please help me with this issue.,Refund,
I am facing an issue where I want to cancel my subscription Please help me with this issue.,Subscription,
I am having a problem because When will I receive my refund? I need assistance.,Refund,
Could you please help? The payment keeps getting declined Can you resolve this?,Payment Issue,
I need assistance because My order has not arrived yet,Delivery Issue,
I need assistance because I am having trouble accessing my account I need assistance.,Account Issue,
I am having a problem because The refund was approved but I have not received it Please help me with this issue.,Refund,
I am having a problem because Can you cancel my order? Can you resolve this?,Cancellation,
Can you help me? I was charged twice for one order Please help me with this issue.,Payment Issue,
"Please help me, I received the wrong product Can you resolve this?",Order Issue,
I am having a problem because Why is my delivery taking so long? Can you resolve this?,Delivery Issue,
I need help because I have been waiting for my refund Can you check this?,Refund,
I need help because How long does a refund take? Can you check this?,Refund,
"Please help me, I was charged twice for one order Please help me with this issue.",Payment Issue,
The website is showing an error Can you check this?,Technical Issue,
I need help because My order is still in transit Please help.,Delivery Issue,
I am facing an issue where My account login is not working Can you resolve this?,Account Issue,
Could you please help? How do I update my phone number? I need assistance.,Account Issue,
Could you please help? I want to cancel the purchase I need assistance.,Cancellation,
Can you help me? My order contains a damaged item,Order Issue,
I am having a problem because Can you tell me where my package is? Please look into this.,Delivery Issue,
I am facing an issue where The courier has not delivered my package Please look into this.,Delivery Issue,
Can you help me? I was charged twice for one order Please look into this.,Payment Issue,
I am having a problem because How long does a refund take? Please help me with this issue.,Refund,
I am facing an issue where My order has not arrived yet,Delivery Issue,
I am facing an issue where My subscription payment failed,Subscription,
I am facing an issue where My UPI payment failed Can you check this?,Payment Issue,
The tracking information has not updated What should I do?,Delivery Issue,
I need assistance because My order is still in transit Please look into this.,Delivery Issue,
I am facing an issue where Cancel my recent order I need assistance.,Cancellation,
Can you help me? I want a refund Please look into this.,Refund,
I need assistance because How do I renew my subscription? Can you check this?,Subscription,
I want to cancel my order Can you check this?,Cancellation,
Can you help me? I cannot open the application Please look into this.,Technical Issue,
I am having a problem because I changed my mind and want to cancel Please help me with this issue.,Cancellation,
I am having a problem because My UPI payment failed Please look into this.,Payment Issue,
Can you help me? I cannot remember my password Please help.,Account Issue,
Could you please help? My account is locked Can you check this?,Account Issue,
"Please help me, Please process my refund I need assistance.",Refund,
I am facing an issue where Please cancel my purchase Can you resolve this?,Cancellation,
I need help because The website is showing an error Please look into this.,Technical Issue,
I need help because My package is delayed Please help me with this issue.,Delivery Issue,
My refund has not arrived Can you resolve this?,Refund,
Can you help me? The website keeps showing an error Can you resolve this?,Technical Issue,
I need assistance because When will I receive my refund? Please help.,Refund,
I am facing an issue where Please refund my order Can you check this?,Refund,
Could you please help? One item is missing from my order,Order Issue,
I need assistance because The app is very slow What should I do?,Technical Issue,
I want to upgrade my plan Can you check this?,Subscription,
My money has not been refunded Please help me with this issue.,Refund,
Could you please help? Something is missing from my order Can you resolve this?,Order Issue,
"Please help me, I made a payment but it is still showing as pending Can you resolve this?",Payment Issue,
I am having a problem because Why is my payment pending? Please look into this.,Payment Issue,
Can you help me? My order is showing the wrong item Please look into this.,Order Issue,
"Please help me, Why did my card payment fail?",Payment Issue,
I need help because Can I change my subscription? Please help.,Subscription,
"Please help me, One item is missing from my order Please help.",Order Issue,
I am having a problem because How can I reset my password? I need assistance.,Account Issue,
Could you please help? My password is not working Can you resolve this?,Account Issue,
How can I request a refund? What should I do?,Refund,
Could you please help? My subscription payment failed Please help me with this issue.,Subscription,
Could you please help? I cannot open the application Can you resolve this?,Technical Issue,
How can I manage my subscription? I need assistance.,Subscription,
I am facing an issue where I want to cancel the purchase Can you check this?,Cancellation,
I need help because Why was I charged for my subscription? What should I do?,Subscription,
I need help because I need help with my subscription What should I do?,Subscription,
I am having a problem because My password is not working Can you resolve this?,Account Issue,
I am facing an issue where I want to update my account information What should I do?,Account Issue,
Can you help me? I was charged twice for the same transaction Please help.,Payment Issue,
I need assistance because The app is very slow Please help.,Technical Issue,
I am having a problem because The payment was successful but the order was cancelled I need assistance.,Payment Issue,
Could you please help? I was charged twice for the same transaction I need assistance.,Payment Issue,
"Please help me, I want to downgrade my plan I need assistance.",Subscription,
I am having a problem because I have been waiting for my refund,Refund,
Could you please help? I cannot open the application I need assistance.,Technical Issue,
"Please help me, There is a technical problem I need assistance.",Technical Issue,
Could you please help? I cannot complete my payment Can you check this?,Payment Issue,
I am having a problem because How can I change my password?,Account Issue,
I placed the order by mistake What should I do?,Cancellation,
I need my money back Please help.,Refund,
I am having a problem because My package is delayed What should I do?,Delivery Issue,
Could you please help? My order contains a damaged item Please help.,Order Issue,
I am having a problem because My order is incomplete Please help me with this issue.,Order Issue,
I am having a problem because My order is showing the wrong item Please help.,Order Issue,
I want to change my subscription plan Please look into this.,Subscription,
I am having a problem because I cannot access my account Please help.,Account Issue,
I am facing an issue where I was charged twice for the same transaction Please help.,Payment Issue,
I am facing an issue where I cannot log into my account What should I do?,Account Issue,
"Please help me, How do I renew my subscription? Please help.",Subscription,
Could you please help? I made a payment but it is still showing as pending Please help me with this issue.,Payment Issue,
Can you help me? How can I upgrade my subscription? Please help me with this issue.,Subscription,
I need assistance because The application stopped working Can you resolve this?,Technical Issue,
I need help because How do I change my email address? What should I do?,Account Issue,
"Please help me, Why is my refund delayed? I need assistance.",Refund,
I am facing an issue where How can I change my password? Can you check this?,Account Issue,
I need assistance because I forgot my login details Please look into this.,Account Issue,
I need help because Where is my package?,Delivery Issue,
"Please help me, The refund was approved but I have not received it Can you resolve this?",Refund,
I am facing an issue where Why is my delivery taking so long?,Delivery Issue,
I am facing an issue where I want a refund What should I do?,Refund,
I am facing an issue where Can I get a refund for this order? Please help me with this issue.,Refund,
The payment was successful but the order was cancelled I need assistance.,Payment Issue,
I cannot access my account,Account Issue,
I am facing an issue where I want to downgrade my plan What should I do?,Subscription,
I am having a problem because Please process my refund Can you check this?,Refund,
I need assistance because Can I get a refund for this order? I need assistance.,Refund,
I am facing an issue where My payment failed while placing the order Can you resolve this?,Payment Issue,
Can you help me? I want to cancel my subscription I need assistance.,Subscription,
I need help because I placed the order by mistake Please help me with this issue.,Cancellation,
I need my money back What should I do?,Refund,
I cannot open the application I need assistance.,Technical Issue,
"Please help me, My delivery is late Can you check this?",Delivery Issue,
Where is my refund? Can you check this?,Refund,
"Please help me, I forgot my login details Can you resolve this?",Account Issue,
I need help because I was charged twice for one order Can you check this?,Payment Issue,
"Please help me, I am having trouble accessing my account Can you check this?",Account Issue,
How do I renew my subscription? Please help.,Subscription,
"Please help me, I am getting an error message Can you resolve this?",Technical Issue,
My subscription payment failed I need assistance.,Subscription,
I am facing an issue where I want to cancel my subscription Can you resolve this?,Subscription,
Can you help me? The tracking information has not updated,Delivery Issue,
Could you please help? I received the wrong product Can you resolve this?,Order Issue,
Could you please help? My order contains a damaged item What should I do?,Order Issue,
Could you please help? How can I request a refund? Can you check this?,Refund,
I need help because My payment was deducted but the order was not placed Can you resolve this?,Payment Issue,
