ticket,resolution_time_hours
I am facing an issue where My package has not arrived Can you check this?,29.8
I need assistance because I need to update my profile information Please resolve this issue.,2.4
Can you help me with this? Someone accessed my account and I cannot log in Can you look into this?,9.0
I need assistance because My payment failed Please help me.,6.7
I am having a problem because I want to cancel my order Can you look into this?,4.6
Can you help me with this? My card payment was declined Can you look into this?,3.4
Can you help me with this? I was charged for my subscription,8.8
"Please help me, My refund has not arrived yet Can you look into this?",30.6
I am having a problem because I want to cancel my order Please help me.,4.4
My order is incomplete Can you look into this?,14.4
"Please help me, My refund has not arrived yet I need this resolved.",30.7
Can you help me with this? My payment failed but money was deducted Can you look into this?,13.9
I need help because How can I change my subscription plan? I need this resolved.,4.4
I need assistance because Where is my package? Please resolve this issue.,8.6
I am having a problem because I want to update my phone number I need this resolved.,1.8
"Please help me, The refund was approved but I have not received the money",37.1
My parcel has been delayed for several days Can you check this?,13.0
I need help because I cannot place an order because the website crashes Can you check this?,12.3
I need assistance because My delivery is slightly delayed,10.8
I cannot place an order because the website crashes Can you check this?,10.3
My delivery is slightly delayed Can you look into this?,11.8
"Please help me, The refund was approved but I have not received the money I need this resolved.",46.1
"Please help me, My entire order is missing",30.7
Can you help me with this? I need to cancel an order that has not shipped Can you check this?,2.2
I need assistance because My refund has not arrived yet Please help me.,37.5
I need assistance because I forgot my password and cannot log in Can you check this?,3.7
I need help because How can I change my subscription plan? Can you check this?,2.2
I am facing an issue where The tracking information has not been updated Can you look into this?,13.0
"Please help me, My parcel has been delayed for several days Please help me.",16.0
I need assistance because My subscription benefits are not working Please help me.,11.2
Someone accessed my account and I cannot log in,10.7
"Please help me, I want to cancel my order but it has already been processed",6.5
"Please help me, The website is completely unavailable",15.2
Can you help me with this? My delivery is slightly delayed Please resolve this issue.,8.9
I need assistance because I want to update my phone number I need this resolved.,2.8
I am having a problem because My account is locked and I cannot access it Please resolve this issue.,6.9
I need assistance because The website keeps freezing I need this resolved.,5.6
I need assistance because An item is missing from my order,17.2
I am facing an issue where I want to cancel my subscription Please help me.,2.5
I am having a problem because I received the wrong item,16.3
I am having a problem because My refund has not arrived yet Can you look into this?,37.2
I need assistance because I requested a refund for my purchase Can you check this?,26.4
How can I change my email address? Can you check this?,2.8
Can you help me with this? I want to cancel my order Can you check this?,4.2
"Please help me, Please cancel my recent purchase Please help me.",2.8
I want to cancel my order but it has already been processed Please resolve this issue.,6.2
I am facing an issue where I want to cancel my subscription Can you look into this?,3.5
I need help because I was charged twice for the same transaction,11.5
I am facing an issue where The website keeps freezing I need this resolved.,6.3
"Please help me, My subscription benefits are not working Can you check this?",16.1
I am facing an issue where I was charged twice for the same transaction,12.9
I need help because I want a refund for my order Please help me.,24.2
I need help because My package has not arrived,18.6
I need assistance because I want to cancel my order but it has already been processed Please help me.,7.7
Can you help me with this? My entire order is missing Please help me.,34.7
I want a refund for my order Please help me.,27.5
I am facing an issue where There is an unknown transaction on my card Please resolve this issue.,16.5
I need assistance because My delivery is slightly delayed Can you look into this?,8.8
I am having a problem because How can I change my email address? Please help me.,1.9
I need assistance because I need to cancel an order that has not shipped Can you check this?,3.9
Can you help me with this? The website is not loading properly I need this resolved.,4.3
"Please help me, I need to update my profile information I need this resolved.",1.9
Can you help me with this? My package is missing and the delivery shows completed Please help me.,31.4
I need assistance because An item is missing from my order Can you look into this?,21.6
I am facing an issue where My package is missing and the delivery shows completed Please help me.,27.2
I need help because The website keeps freezing Can you check this?,8.2
I am having a problem because I was charged twice for the same transaction I need this resolved.,8.6
Can you help me with this? I received the wrong item Can you check this?,15.0
I need help because The website keeps freezing Can you look into this?,11.4
I am facing an issue where The website is completely unavailable Please help me.,26.0
My refund amount is incorrect,40.3
I need help because My entire order is missing Can you check this?,32.1
I need help because The payment page is not working Can you check this?,16.7
I need help because I want a refund for my order Can you look into this?,28.7
I need help because There is an unknown transaction on my card Can you look into this?,14.1
"Please help me, Where can I see my order status? Can you look into this?",6.5
Can you help me with this? How can I change my subscription plan? I need this resolved.,2.7
"Please help me, I was charged twice for the same transaction Can you check this?",12.8
I need assistance because A large unauthorized payment was made from my account Please help me.,26.3
I forgot my password and cannot log in I need this resolved.,2.2
I am having a problem because My order is incomplete Can you look into this?,19.6
I am having a problem because My refund has not arrived yet Can you check this?,29.4
I need assistance because The website is not loading properly Can you check this?,7.6
I am facing an issue where My account is locked and I cannot access it I need this resolved.,5.7
I am having a problem because A large unauthorized payment was made from my account Can you check this?,27.3
Please cancel my recent purchase Can you check this?,2.8
I am having a problem because Please cancel my recent purchase Can you look into this?,2.9
I need help because I forgot my password and cannot log in,2.3
I need assistance because I received the wrong item Please resolve this issue.,17.8
I am having a problem because My refund has not arrived yet,35.0
I am facing an issue where I cannot place an order because the website crashes Can you check this?,14.5
Can you help me with this? The payment page is not working Please help me.,16.3
Can you help me with this? I was charged for my subscription Please help me.,9.6
I am having a problem because How can I change my email address?,1.7
There is an unknown transaction on my card Please help me.,10.9
I need help because I cannot access my paid subscription Please resolve this issue.,12.9
Where can I see my order status?,7.6
I want to update my phone number Please help me.,2.8
I am facing an issue where My delivery is slightly delayed Please resolve this issue.,7.5
I need help because A large unauthorized payment was made from my account Can you look into this?,22.5
I am facing an issue where I want to cancel my order Please resolve this issue.,4.5
I am facing an issue where My subscription benefits are not working Can you look into this?,9.7
I need help because I want to cancel my subscription Can you check this?,2.1
I am having a problem because A large unauthorized payment was made from my account,20.6
I need assistance because My refund amount is incorrect Please resolve this issue.,44.7
I am having a problem because An item is missing from my order Can you look into this?,19.8
"Please help me, My entire order is missing I need this resolved.",31.4
"Please help me, How can I change my subscription plan? Can you check this?",4.3
I am facing an issue where The payment page is not working Please resolve this issue.,11.9
My package has not arrived Can you look into this?,27.4
My card payment was declined,7.2
I need help because How can I change my email address? Please resolve this issue.,2.2
Can you help me with this? An item is missing from my order Can you look into this?,14.2
I am facing an issue where My card payment was declined Please resolve this issue.,5.6
"Please help me, My subscription benefits are not working I need this resolved.",13.9
"Please help me, My subscription benefits are not working",12.2
The tracking information has not been updated Please resolve this issue.,14.6
"Please help me, My delivery is slightly delayed Can you look into this?",9.4
"Please help me, My account is locked and I cannot access it Can you check this?",6.9
I have been waiting several days for my refund Please help me.,43.9
Can you help me with this? How can I change my email address? Please help me.,2.7
I am having a problem because My payment failed but money was deducted I need this resolved.,10.5
I need help because How can I change my subscription plan? Please help me.,2.3
"Please help me, My order is incomplete",17.8
I need assistance because Please cancel my recent purchase Please help me.,4.8
I need assistance because I want to cancel my subscription I need this resolved.,3.0
I need assistance because My payment failed but money was deducted Please help me.,9.8
I need assistance because A large unauthorized payment was made from my account I need this resolved.,21.3
I am facing an issue where I need help cancelling an order that has already shipped,17.2
I need help because The tracking information has not been updated Please resolve this issue.,11.2
Can you help me with this? My parcel has been delayed for several days Please resolve this issue.,10.5
Can you help me with this? The app keeps crashing when I try to use it,9.0
Can you help me with this? I forgot my password and cannot log in Can you check this?,3.6
I need help because The website is not loading properly Can you look into this?,5.7
I need to update my profile information Can you look into this?,1.5
I need help because The payment page is not working Please help me.,11.4
I need assistance because My package is missing and the delivery shows completed Please help me.,34.8
I am facing an issue where Where can I see my order status? Can you check this?,6.7
I want a refund for my order Can you look into this?,25.2
I am having a problem because The website is not loading properly I need this resolved.,8.7
I need assistance because Where is my package?,9.5
Can you help me with this? I forgot my password and cannot log in I need this resolved.,3.7
I am having a problem because I was charged after cancelling my subscription Can you look into this?,15.3
I need assistance because I want to cancel my order I need this resolved.,2.6
Can you help me with this? I want a refund for my order,27.3
I am having a problem because My delivery is slightly delayed I need this resolved.,9.2
I need assistance because My package is missing and the delivery shows completed Can you check this?,27.7
"Please help me, The tracking information has not been updated Please resolve this issue.",9.3
I am facing an issue where My refund has not arrived yet I need this resolved.,34.2
"Please help me, I received the wrong item Can you look into this?",16.8
I need help because My refund amount is incorrect Please help me.,41.4
Can you help me with this? My account is locked and I cannot access it,5.9
I need assistance because I was charged after cancelling my subscription,11.4
Can you help me with this? An item is missing from my order Please help me.,12.1
I need help because The refund was approved but I have not received the money Please resolve this issue.,36.6
I am having a problem because I need to cancel an order that has not shipped,4.3
I am having a problem because My order information is incorrect Please resolve this issue.,8.6
Can you help me with this? I want to cancel my subscription Can you look into this?,2.7
Can you help me with this? I cannot place an order because the website crashes Can you check this?,12.4
Someone accessed my account and I cannot log in Please help me.,9.1
Can you help me with this? My account is locked and I cannot access it Please help me.,5.5
I am having a problem because I requested a refund for my purchase Can you check this?,21.5
I want to cancel my subscription Can you check this?,2.5
"Please help me, I need to update my profile information",1.2
I need assistance because Please cancel my recent purchase Please resolve this issue.,4.8
Can you help me with this? How can I change my subscription plan? Can you look into this?,4.5
Can you help me with this? I want to cancel my order but it has already been processed Can you check this?,7.1
The payment page is not working Can you check this?,11.8
Can you help me with this? The app keeps crashing when I try to use it Please help me.,10.1
My account is locked and I cannot access it Can you look into this?,6.5
I need help because I need to cancel an order that has not shipped I need this resolved.,5.7
I am facing an issue where I was charged twice for the same transaction Please help me.,14.0
I am facing an issue where My package is missing and the delivery shows completed Can you check this?,26.7
I am having a problem because I want to cancel my order but it has already been processed I need this resolved.,6.7
Can you help me with this? I want to update my phone number Can you check this?,2.4
"Please help me, My payment failed but money was deducted Can you check this?",11.5
Can you help me with this? My parcel has been delayed for several days I need this resolved.,11.3
I need help because My account is locked and I cannot access it Can you look into this?,6.2
"Please help me, How can I change my email address? I need this resolved.",2.2
Can you help me with this? Where can I see my order status? Please help me.,7.8
I am having a problem because I want to cancel my subscription Can you look into this?,4.2
I need help because I was charged after cancelling my subscription Please help me.,17.5
My package has not arrived Please resolve this issue.,26.4
Can you help me with this? My subscription benefits are not working Please help me.,16.1
I am having a problem because I want a refund for my order Please help me.,21.0
Can you help me with this? How can I change my subscription plan? Please help me.,2.3
I am having a problem because The website keeps freezing I need this resolved.,7.7
I am facing an issue where My subscription benefits are not working Please help me.,13.2
"Please help me, My payment failed I need this resolved.",3.5
My payment failed but money was deducted Please help me.,13.8
I am facing an issue where I cannot place an order because the website crashes Can you look into this?,12.4
I am facing an issue where My payment failed Can you check this?,4.3
"Please help me, Where is my package? Can you look into this?",6.1
I need assistance because Someone accessed my account and I cannot log in Can you look into this?,10.8
I cannot access my paid subscription Please help me.,10.3
An item is missing from my order,16.8
Can you help me with this? The website is not loading properly Can you check this?,6.9
Can you help me with this? I want to cancel my order but it has already been processed I need this resolved.,8.3
I need assistance because I need to update my profile information Can you check this?,1.0
My payment failed but money was deducted Can you check this?,8.3
I am facing an issue where I received the wrong item I need this resolved.,22.8
I need help because Where is my package? I need this resolved.,7.3
"Please help me, I requested a refund for my purchase Can you look into this?",26.2
I need help because I want to cancel my order but it has already been processed Please help me.,10.6
I need assistance because There is an unknown transaction on my card Can you check this?,13.3
The payment page is not working Can you look into this?,10.0
"Please help me, My card payment was declined Please resolve this issue.",5.1
Can you help me with this? How can I change my email address? Please resolve this issue.,2.3
I need help cancelling an order that has already shipped Can you check this?,14.3
"Please help me, Where can I see my order status? Please resolve this issue.",9.5
I am facing an issue where Where can I see my order status?,6.1
Can you help me with this? Where can I see my order status? I need this resolved.,8.8
I am having a problem because There is an unknown transaction on my card Can you check this?,11.6
I am having a problem because I have been waiting several days for my refund Can you check this?,59.0
Where can I see my order status? Please resolve this issue.,7.5
I am having a problem because The payment page is not working Can you check this?,17.7
I need assistance because I want to update my phone number Can you check this?,2.0
I am having a problem because My delivery is slightly delayed Can you check this?,10.4
I am facing an issue where My package has not arrived I need this resolved.,21.2
I am facing an issue where My order information is incorrect I need this resolved.,7.1
I am having a problem because I received the wrong item Can you check this?,20.9
I am facing an issue where My subscription benefits are not working Please resolve this issue.,8.3
I am facing an issue where My refund has not arrived yet,37.3
I need assistance because Where is my package? I need this resolved.,8.3
Can you help me with this? I need to cancel an order that has not shipped Please help me.,3.0
I am having a problem because I want to cancel my order but it has already been processed Can you look into this?,9.5
I am facing an issue where My package is missing and the delivery shows completed Can you look into this?,24.5
I am facing an issue where I need to cancel an order that has not shipped Can you look into this?,5.7
I need assistance because I need help cancelling an order that has already shipped I need this resolved.,15.1
I am facing an issue where I cannot place an order because the website crashes Please resolve this issue.,14.0
Can you help me with this? I want to cancel my order,3.4
I need help because I was charged after cancelling my subscription Please resolve this issue.,14.3
I am having a problem because The website keeps freezing,9.9
I am facing an issue where How can I change my email address? Can you check this?,2.7
Can you help me with this? Someone accessed my account and I cannot log in I need this resolved.,8.0
My card payment was declined Can you look into this?,5.5
I need assistance because My package has not arrived Please help me.,28.4
"Please help me, I cannot access my paid subscription",15.5
I am facing an issue where My entire order is missing Please help me.,29.0
Can you help me with this? My delivery is slightly delayed I need this resolved.,11.7
Can you help me with this? My account is locked and I cannot access it Please resolve this issue.,5.7
"Please help me, I received the wrong item Can you check this?",20.4
I need assistance because I want to cancel my subscription Can you look into this?,5.3
I need help because Please cancel my recent purchase Can you check this?,5.3
I am having a problem because My delivery is slightly delayed Please help me.,7.1
I need help because My payment failed Please resolve this issue.,4.6
Can you help me with this? My subscription benefits are not working Can you look into this?,10.0
I was charged for my subscription Please resolve this issue.,8.5
Can you help me with this? I was charged for my subscription Please resolve this issue.,6.5
I need assistance because How can I change my subscription plan?,2.5
I am facing an issue where I cannot access my paid subscription I need this resolved.,20.6
I need assistance because The website is completely unavailable Please resolve this issue.,25.8
I am facing an issue where The refund was approved but I have not received the money Please help me.,40.0
I need assistance because I was charged twice for the same transaction I need this resolved.,9.6
I am facing an issue where I want to update my phone number I need this resolved.,1.8
Can you help me with this? I requested a refund for my purchase Please resolve this issue.,22.1
I need help because Where is my package? Can you look into this?,6.6
I need help because I was charged after cancelling my subscription Can you look into this?,12.7
I need assistance because My delivery is slightly delayed Please resolve this issue.,8.0
"Please help me, How can I change my email address? Please help me.",3.0
The refund was approved but I have not received the money Can you look into this?,32.4
"Please help me, I need to update my profile information Can you check this?",1.1
Can you help me with this? My parcel has been delayed for several days Can you look into this?,12.8
I need assistance because My refund amount is incorrect Can you check this?,45.9
I need assistance because The refund was approved but I have not received the money Please help me.,44.9
I need help because I was charged after cancelling my subscription,12.3
I need assistance because My entire order is missing Can you check this?,32.4
I need assistance because My refund has not arrived yet Can you check this?,33.8
I need help because My package is missing and the delivery shows completed Can you check this?,33.7
"Please help me, I was charged for my subscription",9.2
Can you help me with this? The website is completely unavailable Please resolve this issue.,24.9
I am having a problem because The tracking information has not been updated Please help me.,9.5
"Please help me, I want to update my phone number Can you check this?",2.5
I need help because I received the wrong item Please help me.,20.9
Can you help me with this? I received the wrong item Can you look into this?,27.4
I am having a problem because I want a refund for my order,25.4
I received the wrong item I need this resolved.,27.2
I need assistance because I was charged twice for the same transaction Can you look into this?,13.7
I am having a problem because The tracking information has not been updated I need this resolved.,8.3
Can you help me with this? I want to update my phone number Please resolve this issue.,1.5
Can you help me with this? I need help cancelling an order that has already shipped Can you check this?,17.9
I am facing an issue where I cannot place an order because the website crashes Please help me.,15.6
I need assistance because My entire order is missing I need this resolved.,35.1
"Please help me, I was charged twice for the same transaction",9.2
"Please help me, I requested a refund for my purchase",20.3
Can you help me with this? My entire order is missing Can you look into this?,30.8
I need assistance because I need help cancelling an order that has already shipped,16.0
I need assistance because I want to update my phone number,2.4
I need help because I want to cancel my subscription Can you look into this?,3.6
I was charged after cancelling my subscription Can you look into this?,9.4
I need help because My parcel has been delayed for several days Can you check this?,13.0
My order is incomplete Please help me.,11.1
I need help because My order is incomplete Please help me.,14.6
I need help because The refund was approved but I have not received the money Can you look into this?,34.5
How can I change my subscription plan? I need this resolved.,2.3
I am facing an issue where My entire order is missing I need this resolved.,24.6
I am having a problem because My order information is incorrect I need this resolved.,9.5
I am having a problem because The app keeps crashing when I try to use it I need this resolved.,14.9
I need assistance because I want to cancel my order Please resolve this issue.,3.1
I need help because Where is my package? Can you check this?,8.3
"Please help me, I need help cancelling an order that has already shipped Can you look into this?",17.1
Can you help me with this? An item is missing from my order Can you check this?,17.8
I need assistance because Where is my package? Can you check this?,7.3
I need assistance because The website is completely unavailable I need this resolved.,15.8
I am facing an issue where The website is not loading properly Please help me.,9.0
I am having a problem because I want to cancel my subscription Can you check this?,2.1
I am having a problem because Where is my package? Can you check this?,9.9
I am having a problem because How can I change my subscription plan? Please resolve this issue.,4.9
I am having a problem because I want to cancel my subscription,2.7
Can you help me with this? My subscription benefits are not working I need this resolved.,9.5
I need assistance because My account is locked and I cannot access it,4.5
I need assistance because The tracking information has not been updated Can you look into this?,13.1
"Please help me, I want to cancel my subscription Please help me.",3.6
I am facing an issue where My account is locked and I cannot access it Please resolve this issue.,6.2
A large unauthorized payment was made from my account Please resolve this issue.,27.7
I need help because A large unauthorized payment was made from my account,24.6
Can you help me with this? My subscription benefits are not working Please resolve this issue.,9.0
I am facing an issue where I want to cancel my order Please help me.,4.2
I cannot access my paid subscription Can you check this?,12.3
I am having a problem because I need help cancelling an order that has already shipped Can you check this?,18.4
I need assistance because Someone accessed my account and I cannot log in I need this resolved.,7.8
Can you help me with this? I need to update my profile information Can you look into this?,1.4
I am having a problem because Where is my package? Please resolve this issue.,5.8
I need help because There is an unknown transaction on my card Can you check this?,19.5
My entire order is missing Please help me.,33.0
I am having a problem because My parcel has been delayed for several days Please help me.,18.6
"Please help me, An item is missing from my order Please resolve this issue.",22.5
I am facing an issue where I want to cancel my order but it has already been processed Please resolve this issue.,10.3
I am facing an issue where My order is incomplete,10.5
"Please help me, Where can I see my order status? I need this resolved.",8.8
I am facing an issue where How can I change my email address?,2.5
I am having a problem because Where can I see my order status? Can you check this?,8.7
"Please help me, I want to update my phone number Can you look into this?",1.0
"Please help me, I want a refund for my order",26.6
I need assistance because I want to cancel my order but it has already been processed Can you check this?,6.7
Can you help me with this? My package has not arrived Please resolve this issue.,29.8
I need help because My payment failed Can you look into this?,3.5
I am having a problem because My subscription benefits are not working Please help me.,9.9
Can you help me with this? I want to cancel my order Please help me.,4.1
I need to cancel an order that has not shipped Can you check this?,5.7
"Please help me, I was charged for my subscription I need this resolved.",9.2
I need help because I was charged for my subscription Please resolve this issue.,9.7
My order information is incorrect I need this resolved.,7.2
"Please help me, My package has not arrived Please resolve this issue.",19.1
I am having a problem because Please cancel my recent purchase,5.9
I need assistance because My payment failed Can you look into this?,6.3
"Please help me, A large unauthorized payment was made from my account Please help me.",29.5
I need help because Where is my package? Please resolve this issue.,8.4
I cannot access my paid subscription Please resolve this issue.,10.1
I need help because The payment page is not working Can you look into this?,17.5
I need assistance because I need to cancel an order that has not shipped,5.4
My entire order is missing I need this resolved.,33.9
I am facing an issue where An item is missing from my order Please resolve this issue.,22.6
I am having a problem because My refund amount is incorrect Can you look into this?,46.3
I need assistance because Where can I see my order status? Please help me.,8.6
"Please help me, My refund has not arrived yet Can you check this?",30.9
Can you help me with this? The website is completely unavailable Can you check this?,15.9
I need assistance because The website is not loading properly I need this resolved.,9.5
"Please help me, My order information is incorrect Can you look into this?",10.7
I am having a problem because Where is my package? Can you look into this?,7.7
Where is my package? Please help me.,6.5
I need help because I was charged for my subscription Please help me.,5.7
Can you help me with this? My payment failed but money was deducted I need this resolved.,7.2
I need assistance because I was charged after cancelling my subscription Can you look into this?,15.0
Can you help me with this? An item is missing from my order Please resolve this issue.,12.7
I want to cancel my order but it has already been processed Can you look into this?,7.7
Can you help me with this? I cannot place an order because the website crashes,9.1
I need help because My payment failed but money was deducted Please help me.,9.8
I am facing an issue where I requested a refund for my purchase,20.9
I am having a problem because My card payment was declined Please resolve this issue.,7.8
I am facing an issue where My delivery is slightly delayed,6.6
I am having a problem because Someone accessed my account and I cannot log in Can you look into this?,10.1
My entire order is missing,31.9
I need help because Please cancel my recent purchase Please help me.,2.2
Where is my package? Can you check this?,9.2
I am having a problem because I cannot place an order because the website crashes I need this resolved.,12.0
I am facing an issue where I received the wrong item Please resolve this issue.,22.1
Can you help me with this? My parcel has been delayed for several days Can you check this?,16.4
Can you help me with this? Please cancel my recent purchase Please resolve this issue.,3.7
I am having a problem because I want to cancel my subscription Please resolve this issue.,3.4
I am facing an issue where The website is completely unavailable,23.3
I am having a problem because My package is missing and the delivery shows completed Can you look into this?,25.7
I am having a problem because My payment failed I need this resolved.,4.5
"Please help me, My order information is incorrect",10.9
I need help because There is an unknown transaction on my card Please help me.,19.7
I need assistance because Someone accessed my account and I cannot log in Please resolve this issue.,7.9
I need assistance because My delivery is slightly delayed Can you check this?,6.5
I am having a problem because My parcel has been delayed for several days,18.2
"Please help me, I want a refund for my order I need this resolved.",23.0
"Please help me, The website is completely unavailable Can you check this?",29.0
My package has not arrived Please help me.,26.7
I need assistance because A large unauthorized payment was made from my account Can you look into this?,21.9
I need assistance because I cannot access my paid subscription Please help me.,19.9
I am facing an issue where I received the wrong item Can you look into this?,19.3
An item is missing from my order Can you look into this?,15.8
I need help because I cannot access my paid subscription,14.1
I need to update my profile information,2.7
"Please help me, Someone accessed my account and I cannot log in Can you check this?",6.9
I am having a problem because I need to cancel an order that has not shipped I need this resolved.,5.3
I need assistance because There is an unknown transaction on my card Please help me.,10.2
I am having a problem because I cannot access my paid subscription I need this resolved.,16.6
Can you help me with this? I cannot access my paid subscription,21.7
"Please help me, The website keeps freezing Please help me.",10.3
"Please help me, How can I change my subscription plan? Please resolve this issue.",4.5
I am having a problem because An item is missing from my order I need this resolved.,17.4
I am having a problem because The tracking information has not been updated Please resolve this issue.,10.6
I need to cancel an order that has not shipped Please resolve this issue.,2.2
I need help because How can I change my email address? Can you check this?,1.4
I am having a problem because My subscription benefits are not working I need this resolved.,10.3
Can you help me with this? Where can I see my order status? Can you look into this?,9.5
I am facing an issue where I forgot my password and cannot log in,2.0
Can you help me with this? I need to cancel an order that has not shipped,5.0
I need assistance because My order information is incorrect Can you check this?,6.7
Can you help me with this? My subscription benefits are not working,8.9
I am having a problem because There is an unknown transaction on my card I need this resolved.,16.5
I need assistance because My entire order is missing,20.4
Can you help me with this? The app keeps crashing when I try to use it I need this resolved.,10.8
"Please help me, The refund was approved but I have not received the money Can you check this?",40.5
I need assistance because My package is missing and the delivery shows completed Can you look into this?,33.1
I need help because My order is incomplete Can you check this?,10.4
I need assistance because I want a refund for my order I need this resolved.,27.4
I need help because My refund has not arrived yet Can you look into this?,27.9
I need help because The website is completely unavailable Please resolve this issue.,29.6
I need assistance because My account is locked and I cannot access it Can you check this?,4.0
"Please help me, I need help cancelling an order that has already shipped Please help me.",13.0
I am facing an issue where The tracking information has not been updated,13.3
I need help because I requested a refund for my purchase Please resolve this issue.,25.4
Can you help me with this? Please cancel my recent purchase I need this resolved.,3.3
Can you help me with this? I need help cancelling an order that has already shipped Please help me.,10.5
I am facing an issue where I was charged twice for the same transaction Please resolve this issue.,14.5
I need help because The website is completely unavailable Can you check this?,26.2
"Please help me, I want to cancel my order but it has already been processed Can you check this?",11.3
My order is incomplete Please resolve this issue.,11.1
"Please help me, The tracking information has not been updated I need this resolved.",10.9
The website is completely unavailable Please help me.,25.5
I need help because I cannot access my paid subscription Can you check this?,20.1
I am facing an issue where I need help cancelling an order that has already shipped Can you look into this?,14.9
My card payment was declined Please resolve this issue.,7.3
I want to cancel my order but it has already been processed,8.7
A large unauthorized payment was made from my account Can you look into this?,20.5
Can you help me with this? An item is missing from my order I need this resolved.,20.7
I need assistance because The website is not loading properly Can you look into this?,7.5
I am facing an issue where My payment failed but money was deducted Please help me.,9.3
I need help because My package has not arrived Please help me.,25.5
I need help because The website keeps freezing,6.3
I am having a problem because I need to cancel an order that has not shipped Can you check this?,4.2
I need help because I need to cancel an order that has not shipped Can you check this?,3.5
I am having a problem because Where can I see my order status? Please help me.,7.3
I am facing an issue where My package is missing and the delivery shows completed Please resolve this issue.,30.3
I am facing an issue where I was charged twice for the same transaction I need this resolved.,14.1
I need assistance because There is an unknown transaction on my card Can you look into this?,14.6
"Please help me, The tracking information has not been updated Can you look into this?",12.2
I am having a problem because I received the wrong item Can you look into this?,27.7
I am having a problem because My order information is incorrect,11.2
I need assistance because I requested a refund for my purchase Please help me.,28.3
"Please help me, My payment failed but money was deducted Please help me.",12.6
I am having a problem because The refund was approved but I have not received the money I need this resolved.,37.5
Can you help me with this? I need to cancel an order that has not shipped Please resolve this issue.,4.0
I am facing an issue where My entire order is missing Please resolve this issue.,24.6
I need assistance because I received the wrong item Can you check this?,24.0
I need assistance because The app keeps crashing when I try to use it,14.1
Can you help me with this? My payment failed but money was deducted,14.7
My refund amount is incorrect Can you look into this?,49.7
I need to cancel an order that has not shipped,2.8
I need assistance because I want to update my phone number Please help me.,2.5
I need assistance because Where can I see my order status? Please resolve this issue.,10.0
Can you help me with this? I want to cancel my order but it has already been processed Please resolve this issue.,11.5
I am facing an issue where My subscription benefits are not working,15.9
I am having a problem because I want to cancel my order Can you check this?,3.4
"Please help me, My refund amount is incorrect Please resolve this issue.",54.1
I need help because I need help cancelling an order that has already shipped Please help me.,11.1
I am facing an issue where I want to cancel my order Can you check this?,4.0
I am facing an issue where The app keeps crashing when I try to use it Can you check this?,14.4
I am facing an issue where I forgot my password and cannot log in Please resolve this issue.,3.6
I need assistance because My package has not arrived I need this resolved.,27.0
"Please help me, The website is not loading properly Can you look into this?",9.8
The website is completely unavailable I need this resolved.,20.6
Where is my package? Can you look into this?,5.1
Can you help me with this? I have been waiting several days for my refund,50.3
I need help because I want to update my phone number,1.6
I have been waiting several days for my refund I need this resolved.,52.2
I am having a problem because My delivery is slightly delayed Please resolve this issue.,8.2
I want to cancel my order but it has already been processed Please help me.,11.7
I need help because I cannot place an order because the website crashes Can you look into this?,13.0
I am having a problem because My order is incomplete Can you check this?,16.9
My order is incomplete I need this resolved.,12.5
My refund has not arrived yet Can you check this?,39.6
"Please help me, The website keeps freezing Can you look into this?",9.1
I am facing an issue where I was charged for my subscription Please help me.,5.3
"Please help me, I forgot my password and cannot log in Please resolve this issue.",2.7
I am facing an issue where My refund amount is incorrect Please resolve this issue.,52.4
I am having a problem because My package has not arrived Can you check this?,23.5
The website keeps freezing Please help me.,7.5
I want to cancel my subscription Please resolve this issue.,3.2
I need assistance because I want to cancel my order Please help me.,3.2
"Please help me, I need help cancelling an order that has already shipped Please resolve this issue.",13.8
Can you help me with this? I requested a refund for my purchase Can you look into this?,22.0
I am facing an issue where I was charged for my subscription Can you check this?,5.9
I need assistance because My parcel has been delayed for several days Can you look into this?,14.5
"Please help me, There is an unknown transaction on my card Please help me.",13.7
I need help because The app keeps crashing when I try to use it Please help me.,9.4
I need assistance because I want to cancel my subscription Please help me.,5.7
Can you help me with this? There is an unknown transaction on my card Can you look into this?,12.8
I am facing an issue where I cannot place an order because the website crashes,12.6
Can you help me with this? My order is incomplete Can you check this?,12.1
I need help because My order information is incorrect Please help me.,6.8
I need to cancel an order that has not shipped Can you look into this?,2.5
I am having a problem because Please cancel my recent purchase Can you check this?,3.2
I am facing an issue where I cannot access my paid subscription Please help me.,13.7
The website keeps freezing Can you look into this?,10.1
I am facing an issue where I need help cancelling an order that has already shipped Please help me.,11.0
Can you help me with this? My account is locked and I cannot access it Can you check this?,6.7
"Please help me, The app keeps crashing when I try to use it Please help me.",14.4
I am facing an issue where There is an unknown transaction on my card I need this resolved.,11.3
I need help because The refund was approved but I have not received the money Can you check this?,38.4
I am facing an issue where I was charged after cancelling my subscription Can you look into this?,9.5
I need help because The payment page is not working I need this resolved.,8.0
I am having a problem because My parcel has been delayed for several days Can you look into this?,13.4
Someone accessed my account and I cannot log in Can you look into this?,6.8
"Please help me, I want to update my phone number Please help me.",2.5
"Please help me, My order information is incorrect Please help me.",9.8
The tracking information has not been updated Please help me.,10.0
I need assistance because I was charged twice for the same transaction Please help me.,14.9
I need help because My package is missing and the delivery shows completed Please help me.,36.0
I am facing an issue where A large unauthorized payment was made from my account I need this resolved.,17.1
There is an unknown transaction on my card Can you check this?,17.1
